energy_kev,sp3_target,frame_index,step,time_ps,n_atoms,density_atoms_A3,sp_percent,sp2_percent,sp3_percent,defect_percent,mean_coord,elastic_modulus_rel,mean_pe_eV,total_pe_eV,mean_ke_eV,total_ke_eV,max_ke_atom_eV,threshold_cumulative_A,n_displaced_cumulative,max_dr_cumulative_A,mean_dr_cumulative_A,n_displaced_incremental,max_dr_incremental_A
10,40,51,2520,2.520000,473344,0.135644,3.728155,57.557294,38.714550,0.000000,3.349864,0.286088,-6.587250,-3118035.038100,0.041896,19831.204416,0.842565,4.162154,18,42.175645,10.349628,4,1.659402
10,40,52,2640,2.640000,473344,0.135644,3.724353,57.486733,38.788915,0.000000,3.350646,0.286653,-6.587283,-3118050.991590,0.041846,19807.418138,1.087340,4.362875,17,42.125999,10.706381,0,1.231968
10,40,53,2760,2.760000,473344,0.135644,3.721184,57.529830,38.748986,0.000000,3.350278,0.286387,-6.587434,-3118122.406600,0.041948,19855.915105,0.816290,4.162154,20,42.236238,9.717166,0,1.284381
10,40,54,3120,3.120000,473344,0.135644,3.715691,57.538703,38.745606,0.000000,3.350299,0.286403,-6.587446,-3118127.833210,0.041822,19796.209434,1.185820,2.152556,64,42.244738,4.889046,0,1.309903
10,40,55,3240,3.240000,473344,0.135644,3.716113,57.512929,38.770957,0.000000,3.350548,0.286583,-6.587481,-3118144.474910,0.041799,19785.457072,0.864635,4.362875,17,42.208795,10.664358,0,1.081974
10,40,56,3360,3.360000,473344,0.135644,3.718015,57.522647,38.759338,0.000000,3.350413,0.286485,-6.587678,-3118237.826310,0.041879,19823.259160,0.677205,2.152556,65,42.316769,4.838972,0,0.947475
10,40,57,3600,3.600000,473344,0.135644,3.703015,57.492859,38.803914,0.000211,3.351005,0.286913,-6.587683,-3118240.362530,0.041787,19779.729372,0.650571,4.162154,18,42.190660,10.343926,4,1.413081
10,40,58,3840,3.840000,473344,0.135644,3.712944,57.454198,38.832857,0.000000,3.351199,0.287054,-6.587865,-3118326.297070,0.041835,19802.401692,0.591237,2.152556,64,42.143762,4.877838,8,1.242415
10,40,59,3960,3.960000,473344,0.135644,3.721395,57.459902,38.818491,0.000211,3.350967,0.286886,-6.587887,-3118336.793800,0.041766,19769.697601,0.652224,4.362875,17,42.215750,10.677451,0,0.971638
10,40,60,4080,4.080000,473344,0.135644,3.697945,57.533211,38.768845,0.000000,3.350709,0.286699,-6.587928,-3118356.031040,0.041794,19782.957671,0.553069,2.993204,32,42.192855,7.312817,0,1.078802
10,40,61,4200,4.200000,473344,0.135644,3.704494,57.471944,38.823562,0.000000,3.351191,0.287048,-6.588007,-3118393.765270,0.041807,19789.087615,0.956775,2.855498,35,42.169228,6.949846,0,1.119106
10,40,62,4320,4.320000,473344,0.135644,3.711043,57.509972,38.778985,0.000000,3.350679,0.286678,-6.588040,-3118408.978780,0.041772,19772.469581,0.651865,2.152556,64,42.095138,4.880618,0,1.022861
10,40,63,4440,4.440000,473344,0.135644,3.699212,57.515253,38.785323,0.000211,3.350857,0.286806,-6.588070,-3118423.190090,0.041720,19748.036312,0.496940,4.162154,18,42.154245,10.324697,0,0.986344
10,40,64,4560,4.560000,473344,0.135644,3.691396,57.462015,38.846378,0.000211,3.351546,0.287305,-6.588164,-3118467.688490,0.041771,19771.850323,0.499815,3.970669,19,42.202368,9.990083,0,0.925874
10,40,65,4680,4.680000,473344,0.135644,3.698790,57.534267,38.766732,0.000211,3.350675,0.286675,-6.588233,-3118500.791480,0.041803,19787.341719,0.502834,4.162154,19,42.301028,10.003548,0,1.063454
10,40,66,5040,5.040000,473344,0.135644,3.673861,57.488845,38.837294,0.000000,3.351634,0.287369,-6.588351,-3118556.468060,0.041697,19737.065471,0.570529,6.665974,8,42.261789,16.989759,1,1.425335
10,40,67,5160,5.160000,473344,0.135644,3.697100,57.487366,38.815322,0.000211,3.351178,0.287039,-6.588398,-3118578.782090,0.041729,19751.977377,0.553576,2.993204,33,42.216173,7.202708,0,1.022986
10,40,68,5520,5.520000,473344,0.135644,3.689706,57.448705,38.861589,0.000000,3.351719,0.287430,-6.588550,-3118650.509650,0.041661,19720.192376,0.483352,2.993204,33,42.157950,7.189778,0,1.497512
10,40,69,5760,5.760000,473344,0.135644,3.682523,57.455677,38.861589,0.000211,3.351786,0.287479,-6.588648,-3118696.793450,0.041702,19739.353920,0.598015,2.993204,34,42.128894,7.052182,0,1.165193
10,40,70,5880,5.880000,473344,0.135644,3.670903,57.449973,38.879124,0.000000,3.352082,0.287694,-6.588703,-3118723.171330,0.041690,19733.692143,0.489434,4.162154,19,42.184142,10.009997,0,1.243074
10,40,71,6000,6.000000,473344,0.135644,3.695410,57.468564,38.836026,0.000000,3.351406,0.287204,-6.588763,-3118751.429560,0.041688,19732.540259,0.611258,4.162154,18,42.300850,10.299334,1,1.394689
10,40,72,6120,6.120000,473344,0.135644,3.685903,57.498563,38.815534,0.000000,3.351296,0.287124,-6.588828,-3118782.115960,0.041657,19718.228206,0.570023,3.970669,19,42.235320,10.026700,1,1.419735
10,40,73,6240,6.240000,473344,0.135644,3.688649,57.447227,38.863913,0.000211,3.351748,0.287452,-6.588926,-3118828.674580,0.041699,19737.858485,0.715630,4.162154,19,42.205142,9.988135,1,1.431943
10,40,74,6360,6.360000,473344,0.135644,3.676396,57.456945,38.866448,0.000211,3.351896,0.287559,-6.588911,-3118821.278730,0.041632,19706.076620,0.467883,4.162154,19,42.236946,9.987241,4,1.771277
10,40,75,6480,6.480000,473344,0.135644,3.685480,57.490958,38.823562,0.000000,3.351381,0.287186,-6.589021,-3118873.511550,0.041634,19707.239422,0.443161,4.162154,19,42.210455,9.989666,0,1.041837
10,40,76,6600,6.600000,473344,0.135644,3.675128,57.466029,38.858843,0.000000,3.351837,0.287516,-6.589007,-3118866.769720,0.041564,19673.890738,0.498665,4.162154,18,42.166338,10.317207,0,0.867720
10,40,77,6720,6.720000,473344,0.135644,3.685058,57.461170,38.853561,0.000211,3.351681,0.287403,-6.589145,-3118932.028440,0.041613,19697.259863,0.450304,4.162154,18,42.219119,10.319305,0,1.047762
10,40,78,6840,6.840000,473344,0.135644,3.682523,57.474268,38.842998,0.000211,3.351601,0.287345,-6.589199,-3118957.611110,0.041552,19668.265638,0.433762,4.162154,18,42.218600,10.331095,0,1.209478
10,40,79,7080,7.080000,473344,0.135644,3.669636,57.450395,38.879546,0.000423,3.352091,0.287700,-6.589299,-3119005.231790,0.041627,19703.894158,0.586381,2.993204,32,42.186567,7.306551,5,1.140902
10,40,80,7200,7.200000,473344,0.135644,3.693931,57.439199,38.866659,0.000211,3.351723,0.287434,-6.589337,-3119023.223310,0.041638,19708.911179,0.564259,4.162154,19,42.287569,9.995195,0,1.090259
10,40,81,7440,7.440000,473344,0.135644,3.678297,57.450395,38.871307,0.000000,3.351930,0.287584,-6.589353,-3119030.646510,0.041488,19638.208881,0.486122,3.970669,20,42.266912,9.687225,1,1.598388
10,40,82,7680,7.680000,473344,0.135644,3.671960,57.448072,38.879758,0.000211,3.352074,0.287688,-6.589436,-3119069.883100,0.041449,19619.775469,0.453711,3.970669,19,42.184416,9.979530,0,1.038521
10,40,83,7800,7.800000,473344,0.135644,3.663298,57.458423,38.878279,0.000000,3.352150,0.287743,-6.589561,-3119129.001560,0.041569,19676.266535,0.464251,4.162154,19,42.189037,9.985006,2,1.073096
