k_invA,S_k
4.44569138,0.78005722
4.48537074,0.79378512
4.52505010,0.80983065
4.56472946,0.82861346
4.60440882,0.85052900
4.64408818,0.87592629
4.68376754,0.90508642
4.72344689,0.93820252
4.76312625,0.97536229
4.80280561,1.01653375
4.84248497,1.06155503
4.88216433,1.11012868
4.92184369,1.16182093
4.96152305,1.21606601
5.00120240,1.27217562
5.04088176,1.32935316
5.08056112,1.38671253
5.12024048,1.44330059
5.15991984,1.49812285
5.19959920,1.55017118
5.23927856,1.59845276
5.27895792,1.64201922
5.31863727,1.67999476
5.35831663,1.71160242
5.39799599,1.73618743
5.43767535,1.75323683
5.47735471,1.76239469
5.51703407,1.76347237
5.55671343,1.75645351
5.59639279,1.74149352
5.63607214,1.71891382
5.67575150,1.68919093
5.71543086,1.65294088
5.75511022,1.61089968
5.79478958,1.56390049
5.83446894,1.51284836
5.87414830,1.45869358
5.91382766,1.40240447
5.95350701,1.34494070
5.99318637,1.28722789
6.03286573,1.23013456
6.07254509,1.17445195
6.11222445,1.12087735
6.15190381,1.07000147
6.19158317,1.02229998
6.23126253,0.97812945
6.27094188,0.93772745
6.31062124,0.90121675
6.35030060,0.86861308
6.38997996,0.83983608
6.42965932,0.81472269
6.46933868,0.79304245
6.50901804,0.77451392
6.54869739,0.75882149
6.58837675,0.74563192
6.62805611,0.73460999
6.66773547,0.72543265
6.70741483,0.71780116
6.74709419,0.71145103
6.78677355,0.70615932
6.82645291,0.70174932
6.86613226,0.69809258
6.90581162,0.69510845
6.94549098,0.69276125
6.98517034,0.69105557
7.02484970,0.69002992
7.06452906,0.68974924
7.10420842,0.69029671
7.14388778,0.69176529
7.18356713,0.69424948
7.22324649,0.69783760
7.26292585,0.70260500
7.30260521,0.70860851
7.34228457,0.71588213
7.38196393,0.72443433
7.42164329,0.73424673
7.46132265,0.74527435
7.50100200,0.75744709
7.54068136,0.77067241
7.58036072,0.78483891
7.62004008,0.79982057
7.65971944,0.81548135
7.69939880,0.83167994
7.73907816,0.84827428
7.77875752,0.86512575
7.81843687,0.88210270
7.85811623,0.89908327
7.89779559,0.91595734
7.93747495,0.93262765
7.97715431,0.94900994
8.01683367,0.96503238
8.05651303,0.98063427
8.09619238,0.99576411
8.13587174,1.01037743
8.17555110,1.02443429
8.21523046,1.03789685
8.25490982,1.05072711
8.29458918,1.06288502
8.33426854,1.07432706
8.37394790,1.08500541
8.41362725,1.09486786
8.45330661,1.10385834
8.49298597,1.11191816
8.53266533,1.11898790
8.57234469,1.12500977
8.61202405,1.12993038
8.65170341,1.13370380
8.69138277,1.13629465
8.73106212,1.13768107
8.77074148,1.13785753
8.81042084,1.13683708
8.85010020,1.13465314
8.88977956,1.13136053
8.92945892,1.12703587
8.96913828,1.12177703
9.00881764,1.11570188
9.04849699,1.10894623
9.08817635,1.10166112
9.12785571,1.09400936
9.16753507,1.08616179
9.20721443,1.07829299
9.24689379,1.07057700
9.28657315,1.06318284
9.32625251,1.05627028
9.36593186,1.04998585
9.40561122,1.04445928
9.44529058,1.03980042
9.48496994,1.03609685
9.52464930,1.03341209
9.56432866,1.03178456
9.60400802,1.03122721
9.64368737,1.03172787
9.68336673,1.03325020
9.72304609,1.03573519
9.76272545,1.03910319
9.80240481,1.04325630
9.84208417,1.04808099
9.88176353,1.05345104
9.92144289,1.05923041
9.96112224,1.06527625
10.00080160,1.07144179
10.04048096,1.07757903
10.08016032,1.08354142
10.11983968,1.08918613
10.15951904,1.09437626
10.19919840,1.09898272
10.23887776,1.10288593
10.27855711,1.10597727
10.31823647,1.10816036
10.35791583,1.10935216
10.39759519,1.10948389
10.43727455,1.10850185
10.47695391,1.10636801
10.51663327,1.10306057
10.55631263,1.09857433
10.59599198,1.09292086
10.63567134,1.08612855
10.67535070,1.07824249
